,school_name,school_id,network,grade,year,reading_studentsnumber,reading_vam,reading_confidence,reading_percentile,reading_color,math_studentsnumber,math_vam,math_confidence,math_percentile,math_color,school_name,school_id,unit,network,grade,year,readme,mathme,compme,readexc,mathexc,compexc,readmeet,mathmeet,compmeet,readblw,mathblw,compblw,readwrn,mathwrn,compwrn,readtst,mathtst
0,GLOBAL CITIZENSHIP CHTR,400009,Charter/Contract Schools,4th Grade,2012,34.7,0.8,-0.1 to 1.7,79.0,Yellow,34.7,0.0,-0.8 to 0.7,48.0,Yellow,GLOBAL CITIZENSHIP CHTR,400009,2025,Charter,4th Grade,2012,72.9,87.5,80.6,12.5,12.5,9.7,60.4,75.0,70.8,27.1,12.5,19.4,0.0,0.0,0.0,48.0,48.0
1,"LOCKE, A CHTR",400011,Charter/Contract Schools,4th Grade,2012,39.0,0.3,-0.6 to 1.1,60.0,Yellow,39.0,0.2,-0.5 to 1,62.0,Yellow,"LOCKE, A CHTR",400011,4730,Charter,4th Grade,2012,80.0,92.5,83.3,32.5,22.5,21.7,47.5,70.0,61.7,20.0,7.5,16.7,0.0,0.0,0.0,40.0,40.0
2,BRONZEVILLE LTHOUSE CHTR CAMPUS,400019,Charter/Contract Schools,4th Grade,2012,46.1,-1.3,-2.1 to -0.5,9.0,Red,46.1,0.3,-0.3 to 1,64.0,Yellow,BRONZEVILLE LTHOUSE CHTR CAMPUS,400019,3990,Charter,4th Grade,2012,76.0,86.0,74.7,8.0,28.0,12.7,68.0,58.0,62.0,22.0,12.0,23.3,2.0,2.0,2.0,50.0,50.0
3,CATALYST CHTR - HOWLAND,400020,Charter/Contract Schools,4th Grade,2012,52.4,-1.1,-1.9 to -0.3,12.0,Red,52.4,-0.7,-1.3 to -0.1,22.0,Red,CATALYST CHTR - HOWLAND,400020,4370,Charter,4th Grade,2012,41.1,48.2,42.3,1.8,1.8,1.8,39.3,46.4,40.5,55.4,50.0,50.6,3.6,1.8,7.1,56.0,56.0
4,CATALYST CHTR - CIRCLE ROCK,400021,Charter/Contract Schools,4th Grade,2012,59.4,-1.2,-1.9 to -0.4,11.0,Red,59.4,-0.8,-1.4 to -0.3,17.0,Red,CATALYST CHTR - CIRCLE ROCK,400021,4371,Charter,4th Grade,2012,54.2,71.2,59.9,3.4,5.1,2.8,50.8,66.1,57.1,44.1,25.4,36.7,1.7,3.4,3.4,59.0,59.0
5,CICS-AVALON /SO SHORE ,400023,Charter/Contract Schools,4th Grade,2012,46.7,-0.1,-0.9 to 0.7,41.0,Yellow,46.7,0.2,-0.5 to 0.8,57.0,Yellow,CICS-AVALON /SO SHORE,400023,6580,Charter,4th Grade,2012,72.0,86.0,73.3,14.0,20.0,14.7,58.0,66.0,58.7,26.0,14.0,24.7,2.0,0.0,2.0,50.0,50.0
6,CICS-BASIL ,400024,Charter/Contract Schools,4th Grade,2012,79.8,1.0,0.3 to 1.7,85.0,Green,79.8,0.6,0.1 to 1.1,76.0,Green,CICS-BASIL,400024,7130,Charter,4th Grade,2012,53.9,75.3,62.9,18.0,16.9,13.5,36.0,58.4,49.4,42.7,22.5,34.5,3.4,2.2,2.6,89.0,89.0
7,CICS-BUCKTOWN,400025,Charter/Contract Schools,4th Grade,2012,45.8,0.0,-0.8 to 0.8,46.0,Yellow,45.8,0.0,-0.6 to 0.7,49.0,Yellow,CICS-BUCKTOWN,400025,4910,Charter,4th Grade,2012,65.2,84.1,76.8,21.7,24.6,21.7,43.5,59.4,55.1,33.3,14.5,20.8,1.4,1.4,2.4,69.0,69.0
8,CICS-IRVING PARK ,400027,Charter/Contract Schools,4th Grade,2012,61.9,0.9,0.2 to 1.6,83.0,Green,61.9,1.3,0.7 to 1.9,91.0,Green,CICS-IRVING PARK,400027,4913,Charter,4th Grade,2012,96.4,100.0,97.2,41.0,56.6,40.2,55.4,43.4,57.0,3.6,0.0,2.8,0.0,0.0,0.0,83.0,83.0
9,CICS-PRAIRIE ,400028,Charter/Contract Schools,4th Grade,2012,35.8,-1.0,-1.9 to -0.1,15.0,Red,35.8,-0.7,-1.5 to 0,20.0,Red,CICS-PRAIRIE,400028,4220,Charter,4th Grade,2012,64.2,83.0,71.7,11.3,11.3,9.4,52.8,71.7,62.3,32.1,17.0,26.4,3.8,0.0,1.9,53.0,53.0
10,CICS-WASHINGTON PARK,400029,Charter/Contract Schools,4th Grade,2012,54.9,-0.6,-1.3 to 0.2,24.0,Yellow,54.9,0.1,-0.5 to 0.7,56.0,Yellow,CICS-WASHINGTON PARK,400029,2290,Charter,4th Grade,2012,62.5,92.9,73.2,8.9,35.7,16.7,53.6,57.1,56.5,35.7,3.6,23.8,1.8,3.6,3.0,56.0,56.0
11,CICS-WEST BELDEN ,400030,Charter/Contract Schools,4th Grade,2012,24.0,0.8,-0.2 to 1.9,81.0,Yellow,24.0,0.7,-0.2 to 1.5,79.0,Yellow,CICS-WEST BELDEN,400030,7120,Charter,4th Grade,2012,78.6,100.0,85.1,26.8,28.6,22.0,51.8,71.4,63.1,21.4,0.0,13.7,0.0,0.0,1.2,56.0,56.0
