School_Name,School_ID,Unit,Network,Grade,Year,ReadME,MathME,CompME,ReadEXC,MathEXC,CompEXC,ReadMEET,MathMEET,CompMEET,ReadBLW,MathBLW,CompBLW,ReadWRN,MathWRN,CompWRN,ReadTST,MathTST
GLOBAL CITIZENSHIP CHTR,400009,2025,Charter,3rd Grade,2011,64.6,81.3,72.9,14.6,22.9,18.8,50.0,58.3,54.2,33.3,18.8,26.0,2.1,0.0,1.0,48,48
GLOBAL CITIZENSHIP CHTR,400009,2025,Charter,3rd Grade,2012,65.3,81.6,73.5,16.3,30.6,23.5,49.0,51.0,50.0,22.4,16.3,19.4,12.2,2.0,7.1,49,49
GLOBAL CITIZENSHIP CHTR,400009,2025,Charter,4th Grade,2012,72.9,87.5,80.6,12.5,12.5,9.7,60.4,75.0,70.8,27.1,12.5,19.4,0.0,0.0,0.0,48,48
GLOBAL CITIZENSHIP CHTR,400009,2025,Charter,3rd Grade,2013,58.0,60.0,59.0,34.0,6.0,20.0,24.0,54.0,39.0,40.0,38.0,39.0,2.0,2.0,2.0,50,50
GLOBAL CITIZENSHIP CHTR,400009,2025,Charter,4th Grade,2013,51.0,55.1,58.5,6.1,0.0,4.1,44.9,55.1,54.4,28.6,34.7,31.3,20.4,10.2,10.2,49,49
GLOBAL CITIZENSHIP CHTR,400009,2025,Charter,5th Grade,2013,47.8,43.5,45.7,13.0,2.2,7.6,34.8,41.3,38.0,45.7,43.5,44.6,6.5,13.0,9.8,46,46
GLOBAL CITIZENSHIP CHTR,400009,2025,Charter,3rd Grade,2014,62.5,31.3,46.9,25.0,0.0,12.5,37.5,31.3,34.4,28.1,62.5,45.3,9.4,6.3,7.8,32,32
GLOBAL CITIZENSHIP CHTR,400009,2025,Charter,4th Grade,2014,55.6,74.1,71.6,14.8,3.7,9.9,40.7,70.4,61.7,44.4,25.9,28.4,0.0,0.0,0.0,27,27
GLOBAL CITIZENSHIP CHTR,400009,2025,Charter,5th Grade,2014,52.3,50.0,51.1,4.5,0.0,2.3,47.7,50.0,48.9,27.3,38.6,33.0,20.5,11.4,15.9,44,44
GLOBAL CITIZENSHIP CHTR,400009,2025,Charter,6th Grade,2014,50.0,46.3,48.2,11.9,4.9,8.4,38.1,41.5,39.8,40.5,41.5,41.0,9.5,12.2,10.8,42,41
"LOCKE, A CHTR",400011,4730,Charter,3rd Grade,2010,83.7,91.8,87.8,34.7,46.9,40.8,49.0,44.9,46.9,12.2,8.2,10.2,4.1,0.0,2.0,49,49
"LOCKE, A CHTR",400011,4730,Charter,4th Grade,2010,79.2,91.7,79.9,14.6,22.9,15.3,64.6,68.8,64.6,20.8,8.3,19.4,0.0,0.0,0.7,48,48
"LOCKE, A CHTR",400011,4730,Charter,5th Grade,2010,93.6,87.2,90.4,48.9,23.4,36.2,44.7,63.8,54.3,6.4,12.8,9.6,0.0,0.0,0.0,47,47
