School_Name,School_ID,Network,Grade,Year,Reading_StudentsNumber,Reading_VAM,Reading_Confidence,Reading_Percentile,Reading_Color,Math_StudentsNumber,Math_VAM,Math_Confidence,Math_Percentile,Math_Color
GLOBAL CITIZENSHIP CHTR,400009,Charter/Contract Schools,4th Grade,2012,34.7,0.8,-0.1 to 1.7,79.0,Yellow,34.7,0.0,-0.8 to 0.7,48.0,Yellow
GLOBAL CITIZENSHIP CHTR,400009,Charter/Contract Schools,All Grades,2012,34.7,1.0,-0.4 to 2.3,84.0,Yellow,34.7,0.0,-1.1 to 1,51.0,Yellow
"LOCKE, A CHTR",400011,Garfield-Humboldt,4th Grade,2010,45.0,0.2,-0.7 to 1.1,59.0,yellow,45.0,0.5,-0.2 to 1.2,74.0,yellow
"LOCKE, A CHTR",400011,Garfield-Humboldt,5th Grade,2010,43.0,0.6,-0.4 to 1.6,70.0,yellow,43.0,0.3,-0.4 to 1,66.0,yellow
"LOCKE, A CHTR",400011,Garfield-Humboldt,6th Grade,2010,42.0,-0.5,-1.6 to 0.6,29.0,yellow,42.0,-0.3,-1 to 0.5,40.0,yellow
"LOCKE, A CHTR",400011,Garfield-Humboldt,7th Grade,2010,40.0,1.7,0.5 to 2.9,95.0,green,40.0,1.6,0.8 to 2.4,94.0,green
"LOCKE, A CHTR",400011,Garfield-Humboldt,8th Grade,2010,37.0,-0.5,-1.8 to 0.8,27.0,yellow,37.0,2.6,1.7 to 3.5,98.0,green
"LOCKE, A CHTR",400011,Garfield-Humboldt,All Grades,2010,207.0,0.6,-0.2 to 1.4,74.0,yellow,207.0,1.6,1 to 2.1,94.0,green
"LOCKE, A CHTR",400011,Garfield-Humboldt,4th Grade,2011,46.0,-0.1,-1 to 0.7,39.0,yellow,46.0,-1.0,-1.7 to -0.4,14.0,red
"LOCKE, A CHTR",400011,Garfield-Humboldt,5th Grade,2011,39.0,0.9,-0.2 to 2,81.0,yellow,39.0,0.0,-0.8 to 0.9,53.0,yellow
"LOCKE, A CHTR",400011,Garfield-Humboldt,6th Grade,2011,43.4,-0.4,-1.4 to 0.6,34.0,yellow,43.4,-0.3,-0.9 to 0.4,39.0,yellow
"LOCKE, A CHTR",400011,Garfield-Humboldt,7th Grade,2011,41.0,0.5,-0.5 to 1.6,73.0,yellow,41.0,0.5,-0.1 to 1.2,72.0,yellow
"LOCKE, A CHTR",400011,Garfield-Humboldt,8th Grade,2011,38.0,-1.7,-3 to -0.5,2.0,red,38.0,-1.0,-1.8 to -0.2,12.0,red
"LOCKE, A CHTR",400011,Garfield-Humboldt,All Grades,2011,207.4,-0.3,-1.1 to 0.5,38.0,yellow,207.4,-0.5,-1.1 to 0,28.0,yellow
"LOCKE, A CHTR",400011,Charter/Contract Schools,4th Grade,2012,39.0,0.3,-0.6 to 1.1,60.0,Yellow,39.0,0.2,-0.5 to 1,62.0,Yellow
"LOCKE, A CHTR",400011,Charter/Contract Schools,5th Grade,2012,44.0,0.5,-0.6 to 1.6,68.0,Yellow,44.0,0.8,0 to 1.6,79.0,Green
"LOCKE, A CHTR",400011,Charter/Contract Schools,6th Grade,2012,37.0,-1.8,-2.9 to -0.6,3.0,Red,37.0,-0.5,-1.2 to 0.2,34.0,Yellow
"LOCKE, A CHTR",400011,Charter/Contract Schools,7th Grade,2012,42.7,-0.6,-1.7 to 0.6,30.0,Yellow,42.7,-0.2,-0.8 to 0.5,46.0,Yellow
"LOCKE, A CHTR",400011,Charter/Contract Schools,8th Grade,2012,40.0,-1.2,-2.4 to 0,9.0,Yellow,40.0,-0.1,-0.9 to 0.7,49.0,Yellow
"LOCKE, A CHTR",400011,Charter/Contract Schools,All Grades,2012,202.7,-1.0,-1.9 to -0.1,14.0,Red,202.7,0.1,-0.4 to 0.6,57.0,Yellow
AMANDLA CHTR HS,400012,Southwest Side HS Network,5th Grade,2010,52.2,1.0,0 to 2,84.0,green,52.2,0.7,0.1 to 1.4,77.0,green
AMANDLA CHTR HS,400012,Southwest Side HS Network,6th Grade,2010,92.9,1.5,0.7 to 2.3,95.0,green,92.9,1.6,1.1 to 2.1,93.0,green
AMANDLA CHTR HS,400012,Southwest Side HS Network,All Grades,2010,145.1,1.8,0.9 to 2.7,97.0,green,145.2,2.1,1.4 to 2.8,97.0,green
AMANDLA CHTR HS,400012,Southwest Side HS Network,5th Grade,2011,43.1,-0.9,-2 to 0.2,15.0,yellow,43.1,-0.5,-1.3 to 0.4,33.0,yellow
AMANDLA CHTR HS,400012,Southwest Side HS Network,6th Grade,2011,84.4,0.5,-0.4 to 1.3,65.0,yellow,84.4,1.5,1 to 2,92.0,green
AMANDLA CHTR HS,400012,Southwest Side HS Network,7th Grade,2011,97.4,-0.8,-1.6 to 0,20.0,red,97.4,1.5,1 to 2,94.0,green
AMANDLA CHTR HS,400012,Southwest Side HS Network,All Grades,2011,224.9,-0.5,-1.4 to 0.3,27.0,yellow,224.9,2.1,1.5 to 2.6,97.0,green
AMANDLA CHTR HS,400012,Charter/Contract Schools,5th Grade,2012,39.4,-0.2,-1.3 to 1,42.0,Yellow,39.4,-0.7,-1.6 to 0.1,21.0,Yellow
AMANDLA CHTR HS,400012,Charter/Contract Schools,6th Grade,2012,66.8,-0.5,-1.5 to 0.4,27.0,Yellow,67.8,0.6,0 to 1.1,72.0,Green
AMANDLA CHTR HS,400012,Charter/Contract Schools,7th Grade,2012,83.6,-0.9,-1.9 to 0,15.0,Yellow,83.6,0.0,-0.5 to 0.5,52.0,Yellow
AMANDLA CHTR HS,400012,Charter/Contract Schools,8th Grade,2012,87.2,-0.4,-1.4 to 0.6,37.0,Yellow,87.2,-1.2,-1.8 to -0.6,8.0,Red
AMANDLA CHTR HS,400012,Charter/Contract Schools,All Grades,2012,276.9,-0.9,-1.8 to -0.1,16.0,Red,277.9,-0.5,-1 to 0,28.0,Red
ASPIRA CHTR - HAUGAN,400017,O'Hare,6th Grade,2010,58.3,-1.8,-2.8 to -0.9,2.0,red,58.3,-0.8,-1.5 to -0.1,22.0,red
ASPIRA CHTR - HAUGAN,400017,O'Hare,7th Grade,2010,131.8,-0.1,-0.9 to 0.7,47.0,yellow,131.8,0.6,0.1 to 1.1,71.0,green
ASPIRA CHTR - HAUGAN,400017,O'Hare,8th Grade,2010,78.8,0.5,-0.5 to 1.6,73.0,yellow,78.8,2.2,1.5 to 2.9,96.0,green
ASPIRA CHTR - HAUGAN,400017,O'Hare,All Grades,2010,268.8,-0.5,-1.3 to 0.3,31.0,yellow,268.8,1.2,0.7 to 1.8,91.0,green
ASPIRA CHTR - HAUGAN,400017,O'Hare,6th Grade,2011,88.1,-1.3,-2.1 to -0.5,10.0,red,88.1,-1.3,-1.8 to -0.8,8.0,red
ASPIRA CHTR - HAUGAN,400017,O'Hare,7th Grade,2011,178.7,-1.2,-1.8 to -0.5,11.0,red,178.7,-0.4,-0.8 to 0,37.0,red
ASPIRA CHTR - HAUGAN,400017,O'Hare,8th Grade,2011,157.5,-0.9,-1.7 to -0.1,21.0,red,157.5,-0.7,-1.1 to -0.2,28.0,red
ASPIRA CHTR - HAUGAN,400017,O'Hare,All Grades,2011,424.3,-1.8,-2.4 to -1.1,3.0,red,424.3,-1.2,-1.6 to -0.8,10.0,red
ASPIRA CHTR - HAUGAN,400017,Charter/Contract Schools,6th Grade,2012,88.8,-0.8,-1.7 to 0,17.0,Yellow,88.7,-0.4,-0.9 to 0.1,39.0,Yellow
ASPIRA CHTR - HAUGAN,400017,Charter/Contract Schools,7th Grade,2012,196.5,-0.5,-1.3 to 0.2,30.0,Yellow,196.5,0.4,0.1 to 0.7,68.0,Green
ASPIRA CHTR - HAUGAN,400017,Charter/Contract Schools,8th Grade,2012,183.4,-0.6,-1.4 to 0.2,27.0,Yellow,183.4,-1.0,-1.4 to -0.6,13.0,Red
ASPIRA CHTR - HAUGAN,400017,Charter/Contract Schools,All Grades,2012,468.7,-1.0,-1.7 to -0.3,14.0,Red,468.6,-0.4,-0.8 to 0,30.0,Red
BRONZEVILLE LTHOUSE CHTR CAMPUS,400019,Burnham Park,4th Grade,2010,42.5,0.8,-0.1 to 1.7,84.0,yellow,42.5,0.2,-0.4 to 0.9,60.0,yellow
BRONZEVILLE LTHOUSE CHTR CAMPUS,400019,Burnham Park,5th Grade,2010,48.6,0.9,-0.1 to 1.9,81.0,yellow,48.6,1.6,1 to 2.3,94.0,green
BRONZEVILLE LTHOUSE CHTR CAMPUS,400019,Burnham Park,6th Grade,2010,39.9,0.0,-1.1 to 1.1,49.0,yellow,39.9,0.6,-0.2 to 1.3,73.0,yellow
BRONZEVILLE LTHOUSE CHTR CAMPUS,400019,Burnham Park,7th Grade,2010,42.0,0.3,-0.9 to 1.4,63.0,yellow,42.0,0.4,-0.4 to 1.2,66.0,yellow
