School_Name,School_ID,Network,Grade,Year,Reading_StudentsNumber,Reading_VAM,Reading_Confidence,Reading_Percentile,Reading_Color,Math_StudentsNumber,Math_VAM,Math_Confidence,Math_Percentile,Math_Color
SAWYER,610157,Midway,All Grades,2013,1039.0,0.0,-0.4 to 0.4,49,Yellow,1042.0,-0.1,-0.4 to 0.1,45,Yellow
HERNANDEZ,610532,Midway,All Grades,2013,925.0,0.0,-0.4 to 0.5,52,Yellow,926.0,0.3,0 to 0.6,65,Green
EBERHART,609898,Midway,All Grades,2013,850.0,0.0,-0.4 to 0.5,50,Yellow,850.0,0.5,0.2 to 0.8,71,Green
GARY,609938,Pilsen-Little Village,All Grades,2013,845.0,0.5,0.1 to 1,76,Green,847.0,0.8,0.5 to 1.1,83,Green
DISNEY,610363,Ravenswood-Ridge,All Grades,2013,780.0,-0.2,-0.7 to 0.2,37,Yellow,780.0,1.0,0.7 to 1.2,86,Green
SHIELDS MIDDLE,610559,Pershing,All Grades,2013,755.0,-0.8,-1.3 to -0.3,16,Red,755.0,-0.7,-1 to -0.4,23,Red
CICS-LONGWOOD,400033,Charter/Contract,All Grades,2013,733.0,-2.3,-2.8 to -1.9,1,Red,735.0,-3.6,-3.9 to -3.3,0,Red
LYON,610046,Fullerton,All Grades,2013,729.0,0.1,-0.4 to 0.5,54,Yellow,730.0,1.6,1.3 to 1.9,95,Green
BEASLEY,610246,Burnham Park,All Grades,2013,687.0,0.9,0.4 to 1.4,87,Green,688.0,-0.9,-1.2 to -0.6,18,Red
PECK,610120,Midway,All Grades,2013,689.0,0.0,-0.4 to 0.5,51,Yellow,687.0,0.3,0 to 0.6,65,Yellow
"ARMSTRONG, G",609779,Ravenswood-Ridge,All Grades,2013,681.0,-0.4,-0.9 to 0.1,31,Yellow,679.0,0.7,0.3 to 1,77,Green
EDWARDS,609903,Midway,All Grades,2013,673.0,-0.7,-1.2 to -0.2,19,Red,670.0,-0.9,-1.3 to -0.6,17,Red
GALLISTEL,609935,Lake Calumet,All Grades,2013,657.0,-0.5,-1 to 0,25,Red,658.0,-1.1,-1.4 to -0.8,12,Red
STEVENSON,610185,Midway,All Grades,2013,655.0,0.9,0.4 to 1.3,87,Green,653.0,0.1,-0.2 to 0.4,57,Yellow
HEALY,609979,Pershing,All Grades,2013,653.0,0.4,-0.1 to 0.9,71,Yellow,651.0,0.8,0.5 to 1.2,83,Green
NORTHWEST,610051,Fullerton,All Grades,2013,645.0,-1.4,-1.9 to -0.9,6,Red,647.0,-0.1,-0.5 to 0.2,46,Yellow
"GRAY, W",609949,O'Hare,All Grades,2013,642.0,0.1,-0.4 to 0.6,54,Yellow,638.0,0.2,-0.1 to 0.5,62,Yellow
NIGHTINGALE,610096,Midway,All Grades,2013,628.0,0.7,0.2 to 1.2,80,Green,629.0,0.1,-0.2 to 0.5,59,Yellow
SAUCEDO,610017,Pilsen-Little Village,All Grades,2013,620.0,-0.1,-0.6 to 0.4,43,Yellow,622.0,1.3,1 to 1.6,91,Green
"LOCKE, J",610041,Fullerton,All Grades,2013,625.0,-0.5,-1 to 0,24,Red,622.0,0.1,-0.2 to 0.4,55,Yellow
YOUNG,610235,Austin-North Lawndale,All Grades,2013,621.0,-1.2,-1.7 to -0.7,10,Red,617.0,-1.8,-2.1 to -1.5,4,Red
HANSON PARK,610068,Fullerton,All Grades,2013,612.0,-0.1,-0.6 to 0.4,47,Yellow,610.0,0.1,-0.3 to 0.4,54,Yellow
TWAIN,610206,Midway,All Grades,2013,608.0,0.1,-0.4 to 0.6,56,Yellow,608.0,-0.6,-1 to -0.3,26,Red
CARSON,609842,Midway,All Grades,2013,609.0,-0.7,-1.2 to -0.2,19,Red,608.0,-0.6,-0.9 to -0.2,29,Red
MARQUETTE,610053,AUSL,All Grades,2013,609.0,1.8,1.2 to 2.3,97,Green,606.0,0.4,0.1 to 0.8,70,Green
PASTEUR,610117,Midway,All Grades,2013,614.0,0.1,-0.4 to 0.6,57,Yellow,584.0,-0.9,-1.2 to -0.5,19,Red
TARKINGTON,610396,AUSL,All Grades,2013,582.0,-0.2,-0.7 to 0.3,40,Yellow,580.0,0.1,-0.3 to 0.4,55,Yellow
BEAUBIEN,609796,O'Hare,All Grades,2013,570.0,-0.3,-0.8 to 0.3,36,Yellow,573.0,-0.4,-0.7 to 0,37,Red
ASPIRA CHTR - HAUGAN,400017,Charter/Contract,All Grades,2013,562.0,0.4,-0.2 to 1,71,Yellow,561.0,0.5,0.2 to 0.9,73,Green
MONROE,610074,Fullerton,All Grades,2013,555.0,-0.5,-1.1 to 0,24,Red,559.0,-0.7,-1 to -0.3,24,Red
DAWES,609879,Midway,All Grades,2013,556.0,-0.1,-0.6 to 0.4,45,Yellow,557.0,-0.4,-0.8 to -0.1,34,Red
FALCONER,609910,Fullerton,All Grades,2013,556.0,1.5,1 to 2,94,Green,556.0,1.1,0.8 to 1.5,89,Green
