,school_name,school_id,network,grade,year,reading_studentsnumber,reading_vam,reading_confidence,reading_percentile,reading_color,math_studentsnumber,math_vam,math_confidence,math_percentile,math_color
0,GLOBAL CITIZENSHIP CHTR,400009,Charter/Contract,All Grades,2013,93.0,-0.3,-1.3 to 0.7,33.0,Yellow,93.0,-0.8,-1.6 to 0,20.0,Red
1,"LOCKE, A CHTR",400011,Charter/Contract,All Grades,2013,213.0,0.7,-0.1 to 1.5,81.0,Yellow,213.0,1.0,0.5 to 1.5,87.0,Green
2,AMANDLA CHTR HS,400012,Charter/Contract,All Grades,2013,243.0,-1.9,-2.7 to -1.1,2.0,Red,244.0,-1.4,-2 to -0.9,7.0,Red
3,ASPIRA CHTR - HAUGAN,400017,Charter/Contract,All Grades,2013,562.0,0.4,-0.2 to 1,71.0,Yellow,561.0,0.5,0.2 to 0.9,73.0,Green
4,BRONZEVILLE LTHOUSE CHTR CAMPUS,400019,Charter/Contract,All Grades,2013,246.0,0.2,-0.6 to 0.9,60.0,Yellow,246.0,-1.1,-1.6 to -0.6,12.0,Red
5,CATALYST CHTR - HOWLAND,400020,Charter/Contract,All Grades,2013,254.0,-0.2,-0.9 to 0.6,41.0,Yellow,253.0,-0.1,-0.6 to 0.5,50.0,Yellow
6,CATALYST CHTR - CIRCLE ROCK,400021,Charter/Contract,All Grades,2013,276.0,-0.3,-1 to 0.4,35.0,Yellow,275.0,0.5,0 to 1,73.0,Green
7,CICS-AVALON /SO SHORE,400023,Charter/Contract,All Grades,2013,210.0,1.8,1 to 2.6,97.0,Green,210.0,-1.0,-1.5 to -0.4,16.0,Red
8,CICS-BASIL,400024,Charter/Contract,All Grades,2013,361.0,0.6,-0.1 to 1.2,77.0,Yellow,362.0,-0.6,-1 to -0.2,27.0,Red
9,CICS-BUCKTOWN,400025,Charter/Contract,All Grades,2013,348.0,-1.7,-2.3 to -1,3.0,Red,348.0,-1.3,-1.8 to -0.9,8.0,Red
10,CICS-IRVING PARK,400027,Charter/Contract,All Grades,2013,294.0,-1.5,-2.2 to -0.8,5.0,Red,294.0,0.2,-0.2 to 0.7,63.0,Yellow
11,CICS-PRAIRIE,400028,Charter/Contract,All Grades,2013,255.0,-0.1,-0.8 to 0.7,46.0,Yellow,255.0,-1.6,-2.1 to -1.1,6.0,Red
12,CICS-WASHINGTON PARK,400029,Charter/Contract,All Grades,2013,250.0,0.0,-0.7 to 0.8,52.0,Yellow,250.0,0.7,0.2 to 1.2,80.0,Green
13,CICS-WEST BELDEN,400030,Charter/Contract,All Grades,2013,277.0,-1.1,-1.8 to -0.4,11.0,Red,277.0,-1.3,-1.7 to -0.8,9.0,Red
14,CICS-WRIGHTWOOD,400031,Charter/Contract,All Grades,2013,384.0,-0.5,-1.2 to 0.1,24.0,Yellow,384.0,0.0,-0.4 to 0.4,52.0,Yellow
15,CICS-LONGWOOD,400033,Charter/Contract,All Grades,2013,733.0,-2.3,-2.8 to -1.9,1.0,Red,735.0,-3.6,-3.9 to -3.3,0.0,Red
16,CHGO MATH & SCI ACAD CAMPUS HS,400035,Charter/Contract,All Grades,2013,250.0,-0.9,-1.7 to -0.1,15.0,Red,250.0,-1.2,-1.7 to -0.6,11.0,Red
17,CHICAGO VIRTUAL CHTR CAMPUS HS,400036,Charter/Contract,All Grades,2013,237.0,0.4,-0.4 to 1.1,69.0,Yellow,236.0,-0.9,-1.4 to -0.4,19.0,Red
18,ERIE CHTR CAMPUS,400039,Charter/Contract,All Grades,2013,207.0,0.1,-0.7 to 0.9,55.0,Yellow,207.0,-0.2,-0.7 to 0.4,44.0,Yellow
19,FRAZIER CONTR,400040,Charter/Contract,All Grades,2013,223.0,-2.2,-3 to -1.4,1.0,Red,222.0,-2.1,-2.6 to -1.6,2.0,Red
20,GALAPAGOS CHTR CAMPUS,400041,Charter/Contract,All Grades,2013,186.0,-0.8,-1.6 to 0,17.0,Yellow,186.0,-0.3,-0.8 to 0.3,41.0,Yellow
21,HOPE CONTR ES,400043,Charter/Contract,All Grades,2013,80.0,1.0,0 to 2.1,89.0,Yellow,80.0,0.1,-0.8 to 0.9,54.0,Yellow
22,KIPP ASCEND CHTR CAMPUS,400044,Charter/Contract,All Grades,2013,326.0,0.0,-0.7 to 0.8,52.0,Yellow,326.0,0.4,0 to 0.9,69.0,Yellow
23,NKRUMAH CHTR,400045,Charter/Contract,All Grades,2013,63.0,-0.4,-1.5 to 0.7,28.0,Yellow,63.0,-1.3,-2.2 to -0.4,9.0,Red
24,LEARN CHTR BUTLER,400046,Charter/Contract,All Grades,2013,266.0,0.1,-0.6 to 0.8,57.0,Yellow,266.0,0.5,0 to 1,73.0,Green
25,LEARN CHTR - CAMPBELL,400047,Charter/Contract,All Grades,2013,115.0,-0.4,-1.3 to 0.6,31.0,Yellow,115.0,-0.6,-1.3 to 0.1,26.0,Yellow
26,LEARN CHTR EXCEL,400048,Charter/Contract,All Grades,2013,109.0,-0.3,-1.3 to 0.6,32.0,Yellow,109.0,0.1,-0.7 to 0.8,53.0,Yellow
27,LEGACY CHTR CAMPUS,400049,Charter/Contract,All Grades,2013,246.0,-0.2,-1 to 0.6,39.0,Yellow,246.0,0.1,-0.4 to 0.6,59.0,Yellow
28,NAMASTE CHTR CAMPUS,400050,Charter/Contract,All Grades,2013,225.0,-0.7,-1.4 to 0.1,21.0,Yellow,225.0,-0.3,-0.8 to 0.2,41.0,Yellow
29,NOBLE ST CHTR-COMER,400052,Charter/Contract,All Grades,2013,124.0,2.3,1.3 to 3.4,99.0,Green,124.0,2.1,1.4 to 2.8,98.0,Green
30,ASIAN HUMAN SERVICES CHTR - PASSAGES,400060,Charter/Contract,All Grades,2013,173.0,0.2,-0.7 to 1,59.0,Yellow,173.0,0.0,-0.6 to 0.6,52.0,Yellow
31,PERSPECTIVES CHTR - LEADERSHIP ACADEMY,400061,Charter/Contract,All Grades,2013,284.0,-1.5,-2.3 to -0.7,5.0,Red,285.0,0.2,-0.4 to 0.7,60.0,Yellow
32,PERSPECTIVES CHTR JOSLIN,400064,Charter/Contract,All Grades,2013,131.0,0.5,-0.6 to 1.5,73.0,Yellow,130.0,1.3,0.5 to 2,90.0,Green
33,PERSPECTIVES CHTR IIT,400066,Charter/Contract,All Grades,2013,224.0,-1.7,-2.6 to -0.8,3.0,Red,223.0,-1.3,-1.9 to -0.7,8.0,Red
34,PERSPECTIVES CHTR CALUMET MIDDLE,400067,Charter/Contract,All Grades,2013,7.0,0.0,-1.9 to 2,51.0,Yellow,7.0,0.1,-1.9 to 2,53.0,Yellow
35,PLATO CONTR,400068,Charter/Contract,All Grades,2013,248.0,-0.7,-1.5 to 0,18.0,Red,248.0,-1.0,-1.5 to -0.5,15.0,Red
36,POLARIS CHTR CAMPUS,400069,Charter/Contract,All Grades,2013,181.0,1.0,0.1 to 1.8,89.0,Green,182.0,-0.6,-1.2 to 0,27.0,Red
37,PROVIDENCE CHTR-BUNCHE,400071,Charter/Contract,All Grades,2013,177.0,-0.2,-1 to 0.7,41.0,Yellow,176.0,-0.5,-1.1 to 0.1,31.0,Yellow
38,SHABAZZ CHTR-SHABAZZ,400072,Charter/Contract,All Grades,2013,147.0,0.7,-0.2 to 1.7,84.0,Yellow,147.0,0.9,0.2 to 1.5,84.0,Green
39,SHABAZZ CHTR-SIZEMORE,400074,Charter/Contract,All Grades,2013,142.0,0.3,-0.6 to 1.3,66.0,Yellow,143.0,-0.9,-1.6 to -0.2,18.0,Red
40,UNIV OF CHGO CHTR-DONOGHUE,400075,Charter/Contract,All Grades,2013,128.0,-0.3,-1.1 to 0.6,34.0,Yellow,128.0,0.0,-0.7 to 0.6,50.0,Yellow
41,UNIV OF CHGO CHTR-NKO,400076,Charter/Contract,All Grades,2013,98.0,0.6,-0.3 to 1.6,79.0,Yellow,98.0,0.7,-0.1 to 1.4,78.0,Yellow
42,UNIV OF CHGO CHTR-WOODLAWN,400077,Charter/Contract,All Grades,2013,202.0,-0.5,-1.3 to 0.4,27.0,Yellow,202.0,-0.1,-0.6 to 0.5,49.0,Yellow
43,UNIV OF CHGO CHTR-WOODSON,400078,Charter/Contract,All Grades,2013,354.0,-0.7,-1.4 to 0,20.0,Yellow,354.0,-1.2,-1.6 to -0.7,10.0,Red
