school_id,School Name,Total,LEP,LEPperc,IEP,IEPperc,LowInc,LowIncperc
610229,A.N. Pritzker School,676,55,8.14,62,9.17,376,55.62
610038,Abraham Lincoln Elementary School,781,44,5.63,61,7.81,103,13.19
400009,Academy for Global Citizenship Elementary School,296,81,27.36,38,12.84,234,79.05
400146,Academy of Communication & Tech Charter School,81,0,0.00,6,7.41,74,91.36
610281,Adam Clayton Powell Paideia Community Academy ES,532,11,2.07,61,11.47,513,96.43
610185,Adlai E Stevenson Elementary School,"1,275",400,31.37,176,13.80,"1,225",96.08
609993,Agustin Lara Elementary Academy,548,236,43.07,43,7.85,536,97.81
610513,Air Force Academy High School,393,5,1.27,35,8.91,339,86.26
610334,Al Raby High School,524,7,1.34,118,22.52,487,92.94
400011,Alain Locke Charter Elementary Academy,588,1,0.17,36,6.12,552,93.88
610212,Albany Park Multicultural Academy,269,36,13.38,36,13.38,260,96.65
609720,Albert G Lane Technical High School,"4,270",14,0.33,182,4.26,"2,623",61.43
610342,Albert R Sabin Elementary Magnet School,602,102,16.94,66,10.96,540,89.70
610524,Alcott High School for the Humanities,269,9,3.35,92,34.20,211,78.44
610209,Alessandro Volta Elementary School,"1,006",538,53.48,83,8.25,944,93.84
609808,Alex Haley Elementary Academy,529,2,0.38,54,10.21,505,95.46
609799,Alexander Graham Bell Elementary School,986,23,2.33,116,11.76,178,18.05
609947,Alexander Graham Elementary School,498,63,12.65,51,10.24,429,86.14
609963,Alexander Hamilton Elementary School,371,42,11.32,64,17.25,145,39.08
610210,Alexander von Humboldt Elementary School,362,41,11.33,33,9.12,354,97.79
610028,Alfred David Kohn Elementary School,390,0,0.00,37,9.49,362,92.82
610098,Alfred Nobel Elementary School,848,307,36.20,87,10.26,829,97.76
609788,Alice L Barnard Computer Math & Science Ctr ES,262,0,0.00,28,10.69,216,82.44
400012,Amandla Charter High School,311,0,0.00,42,13.50,298,95.82
610131,Ambrose Plamondon Elementary School,178,53,29.78,21,11.80,177,99.44
610316,Amelia Earhart Options for Knowledge ES,247,0,0.00,26,10.53,176,71.26
609780,Ames Middle School,480,96,20.00,52,10.83,475,98.96
