school_id,School,Total,White,Whiteperc,Black,Blackperc,PacIsl,PasIslperc,NatAm,NatAmperc,Hispanic,Hispanicperc,multi,Multiperc,Aisian,Asianperc,Haw,Hawperc,NA,Naperc,,,
400010,ACE Tech Chtr HS,500,24,4.8,322,64.4,0,0,7,1.4,134,26.8,11,2.2,0,0,0,0,2,0.4,,,
400013,ASPIRA Chrt - Early College,505,6,1.2,15,3,0,0,1,0.2,476,94.3,2,0.4,3,0.6,0,0,2,0.4,,,
400017,ASPIRA Chrt - Haugan,592,16,2.7,34,5.7,0,0,3,0.5,514,86.8,5,0.8,19,3.2,0,0,1,0.2,,,
400015,ASPIRA Chrt - Ramirez,397,14,3.5,48,12.1,0,0,1,0.3,330,83.1,0,0,4,1,0,0,0,0,,,
609772,Addams,926,22,2.4,7,0.8,0,0,2,0.2,889,96,4,0.4,2,0.2,0,0,0,0,,,
609773,Agassiz,429,143,33.3,96,22.4,0,0,0,0,158,36.8,19,4.4,11,2.6,2,0.5,0,0,,,
610513,Air Force Acad HS,302,24,7.9,129,42.7,0,0,0,0,127,42.1,6,2,11,3.6,1,0.3,4,1.3,,,
610212,Albany Park Middle,266,23,8.6,15,5.6,0,0,0,0,189,71.1,3,1.1,36,13.5,0,0,0,0,,,
609774,Alcott,474,316,66.7,44,9.3,0,0,0,0,70,14.8,20,4.2,23,4.9,1,0.2,0,0,,,
610524,Alcott HS,232,30,12.9,80,34.5,0,0,2,0.9,107,46.1,7,3,2,0.9,3,1.3,1,0.4,,,
609848,Aldridge,283,0,0,283,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
609775,Altgeld,527,0,0,520,98.7,0,0,0,0,7,1.3,0,0,0,0,0,0,0,0,,,
400012,Amandla Elementay Chrtr,348,0,0,347,99.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3,,,
609780,Ames Middle,583,12,2.1,29,5,0,0,3,0.5,535,91.8,3,0.5,0,0,0,0,1,0.2,,,
609695,Amundsen HS,1535,143,9.3,172,11.2,3,0.2,4,0.3,1002,65.3,17,1.1,191,12.4,1,0.1,2,0.1,,,
609951,Ariel,550,0,0,537,97.6,0,0,0,0,12,2.2,0,0,0,0,0,0,1,0.2,,,
609777,Armour,362,23,6.4,18,5,0,0,0,0,303,83.7,1,0.3,5,1.4,0,0,12,3.3,,,
609779,Armstrong G.,1487,122,8.2,380,25.6,0,0,16,1.1,704,47.3,35,2.4,229,15.4,1,0.1,0,0,,,
610156,Armstrong L.,95,0,0,93,97.9,0,0,0,0,2,2.1,0,0,0,0,0,0,0,0,,,
610287,Ashburn,490,4,0.8,396,80.8,0,0,1,0.2,77,15.7,9,1.8,1,0.2,0,0,2,0.4,,,
610268,Ashe,456,0,0,450,98.7,0,0,0,0,5,1.1,1,0.2,0,0,0,0,0,0,,,
609781,Attucks,276,0,0,275,99.6,0,0,0,0,1,0.4,0,0,0,0,0,0,0,0,,,
609782,Audubon,573,317,55.3,21,3.7,0,0,1,0.2,184,32.1,36,6.3,6,1,2,0.3,6,1,,,
400018,Austin Bus & Entrp HS,317,0,0,313,98.7,0,0,0,0,3,0.9,0,0,0,0,0,0,1,0.3,,,
610501,Austin Poly Tech HS,251,1,0.4,247,98.4,0,0,1,0.4,2,0.8,0,0,0,0,0,0,0,0,,,
609786,Avalon Park,393,0,0,387,98.5,0,0,0,0,6,1.5,0,0,0,0,0,0,0,0,,,
610544,Azuela,870,21,2.4,16,1.8,1,0.1,5,0.6,815,93.7,0,0,0,0,0,0,12,1.4,,,
610265,Banneker,302,0,0,300,99.3,0,0,0,0,1,0.3,1,0.3,0,0,0,0,0,0,,,
610549,Banner North Elem,5,0,0,3,60,0,0,0,0,2,40,0,0,0,0,0,0,0,0,,,
610550,Banner North HS,28,0,0,14,50,0,0,0,0,14,50,0,0,0,0,0,0,0,0,,,
610556,Banner South HS,284,0,0,279,98.2,0,0,0,0,5,1.8,0,0,0,0,0,0,0,0,,,
610555,Banner West HS,162,1,0.6,150,92.6,0,0,0,0,11,6.8,0,0,0,0,0,0,0,0,,,
609788,Barnard,272,2,0.7,265,97.4,0,0,0,0,4,1.5,1,0.4,0,0,0,0,0,0,,,
609789,Barry,796,14,1.8,13,1.6,0,0,1,0.1,757,95.1,7,0.9,4,0.5,0,0,0,0,,,
609790,Barton,596,1,0.2,590,99,0,0,0,0,4,0.7,0,0,0,0,0,0,1,0.2,,,
609791,Bass,367,0,0,356,97,0,0,0,0,10,2.7,1,0.3,0,0,0,0,0,0,,,
609792,Bateman,1014,90,8.9,23,2.3,0,0,7,0.7,783,77.2,4,0.4,61,6,2,0.2,44,4.3,,,
610083,Beard,160,51,31.9,14,8.8,0,0,2,1.3,72,45,4,2.5,16,10,0,0,1,0.6,,,
610246,Beasley Magnet,1363,0,0,1319,96.8,0,0,5,0.4,24,1.8,10,0.7,2,0.1,1,0.1,2,0.1,,,
609796,Beaubien,1172,434,37,17,1.5,1,0.1,5,0.4,485,41.4,62,5.3,163,13.9,3,0.3,2,0.2,,,
610237,Beethoven,409,2,0.5,393,96.1,0,0,0,0,4,1,2,0.5,0,0,0,0,8,2,,,
609797,Beidler,406,0,0,387,95.3,0,0,2,0.5,16,3.9,1,0.2,0,0,0,0,0,0,,,
609798,Belding,657,238,36.2,42,6.4,0,0,3,0.5,314,47.8,10,1.5,41,6.2,2,0.3,7,1.1,,,
609799,Bell,990,587,59.3,29,2.9,0,0,6,0.6,235,23.7,76,7.7,54,5.5,2,0.2,1,0.1,,,
